transaction_amount,user_age,account_age_days,num_transactions_last_24h,is_foreign_transaction,is_high_risk_merchant,device_type,card_present,fraud
56.31,68,1204,0,0,1,desktop,1,0
361.21,57,2564,1,0,0,mobile,0,0
158.01,24,175,3,0,0,mobile,0,0
109.55,49,2811,3,0,0,mobile,0,0
20.35,65,1976,0,0,0,mobile,1,0
20.35,36,578,2,0,0,desktop,1,0
7.18,23,1799,0,0,0,mobile,0,0
241.35,37,2097,2,0,0,mobile,0,0
110.29,44,2576,1,0,1,mobile,1,0
147.75,60,145,3,0,0,mobile,1,0
2.5,54,762,2,0,0,mobile,1,0
420.43,65,1378,1,0,0,mobile,0,0
214.37,24,1826,2,0,0,mobile,1,0
28.64,22,929,3,0,0,desktop,1,0
24.08,28,794,3,1,1,desktop,1,1
24.31,32,1602,0,0,0,mobile,0,0
43.53,20,1661,1,0,0,mobile,1,0
89.27,22,319,4,0,0,mobile,0,0
67.86,40,1111,3,0,0,mobile,1,0
41.31,54,1577,1,0,0,desktop,0,0
113.56,26,698,0,0,0,tablet,1,0
18.03,32,847,4,0,0,desktop,0,0
41.46,20,1802,1,0,0,mobile,1,0
54.75,46,783,3,1,0,desktop,1,0
73.07,23,2090,1,1,0,mobile,1,0
184.55,34,1117,2,0,0,desktop,1,0
26.73,43,1751,4,0,0,mobile,0,0
86.64,38,2577,1,0,0,mobile,0,0
107.7,25,1650,4,0,1,mobile,1,0
5.71,38,292,2,0,0,mobile,1,0
112.24,28,969,3,0,0,desktop,0,0
22.44,55,1488,4,0,1,desktop,1,0
8.07,25,1843,5,1,0,desktop,0,0
356.84,59,97,1,0,0,tablet,1,0
404.48,41,1119,2,0,0,mobile,0,0
198.28,52,74,3,0,0,mobile,0,0
43.59,31,1360,0,0,1,mobile,0,0
12.33,31,1092,1,0,0,desktop,1,0
138.33,27,758,2,0,0,mobile,0,0
69.61,29,1942,0,1,1,mobile,1,1
15.62,55,208,2,0,0,mobile,0,0
82.03,61,1245,4,0,0,tablet,0,0
4.2,63,1286,3,0,0,desktop,1,0
288.05,51,410,2,0,0,mobile,1,0
35.93,58,2379,4,0,0,desktop,1,0
130.35,27,2392,3,0,0,mobile,1,0
44.83,34,771,0,0,1,mobile,0,0
88.09,34,1844,2,0,0,desktop,0,0
94.95,20,74,5,0,0,mobile,0,0
24.53,48,1661,1,0,0,mobile,1,0
419.14,68,254,2,1,0,desktop,1,0
179.07,18,820,2,0,0,desktop,0,0
336.61,29,986,2,0,1,tablet,0,1
270.26,56,332,1,0,0,mobile,0,0
109.33,21,1422,2,0,0,mobile,0,0
305.93,59,2795,0,0,0,mobile,1,0
11.12,30,836,0,0,0,desktop,0,0
26.18,51,1692,0,0,0,mobile,0,0
5.55,59,455,2,0,0,mobile,0,0
47.22,38,1930,5,0,0,mobile,1,0
59.06,39,1139,3,0,0,desktop,1,0
37.99,21,313,4,0,0,mobile,1,0
211.75,35,1018,1,0,1,mobile,1,0
52.95,22,228,2,0,1,mobile,0,0
39.58,36,2882,3,0,1,mobile,0,0
93.89,19,858,2,0,0,mobile,1,0
18.23,29,1269,3,0,1,mobile,0,0
194.46,34,2866,5,0,0,desktop,1,0
9.3,27,1018,3,0,0,mobile,1,0
520.1,51,2576,1,0,0,mobile,1,0
177.54,23,950,2,0,0,mobile,0,0
26.58,25,427,1,0,0,tablet,1,0
0.66,68,2090,2,0,0,mobile,0,0
202.79,28,465,1,0,0,desktop,1,0
147.25,29,1646,2,0,0,desktop,0,0
156.68,26,278,1,1,0,mobile,1,0
177.03,19,2884,3,0,0,mobile,1,0
9.23,25,19,3,0,1,desktop,1,1
53.27,28,66,3,0,0,desktop,1,0
14.78,53,167,0,0,0,desktop,1,0
238.62,27,1609,0,0,0,desktop,0,0
117.16,38,403,1,0,0,mobile,1,0
48.22,37,409,1,0,0,desktop,0,0
7.88,65,2160,4,0,0,mobile,0,0
44.7,25,597,1,0,0,mobile,1,0
47.2,53,2699,2,0,0,desktop,1,0
156.95,46,1063,1,0,0,mobile,0,0
121.79,59,2153,2,0,0,mobile,1,0
261.87,29,324,0,0,1,mobile,0,0
76.69,31,1983,4,0,0,mobile,1,0
15.28,65,1438,2,0,0,desktop,1,0
149.9,67,429,0,0,1,mobile,1,0
171.65,38,2683,2,0,0,desktop,0,0
98.87,39,2778,3,0,0,mobile,0,0
176.87,38,2937,2,0,0,mobile,0,0
81.7,61,1085,2,0,0,mobile,0,0
88.76,67,1636,2,0,0,mobile,1,0
66.94,47,1378,0,0,0,mobile,1,0
3.09,56,393,0,0,1,desktop,1,0
13.7,37,2252,1,0,1,mobile,1,0
3.83,41,2306,3,0,0,mobile,1,0
121.41,40,2534,4,1,0,mobile,0,0
45.29,24,1541,2,0,1,mobile,0,0
85.25,26,446,2,0,0,mobile,0,0
285.75,18,1204,2,0,0,desktop,1,0
34.41,43,1024,0,1,0,mobile,1,0
63.39,55,342,0,0,0,mobile,1,0
169.05,55,133,0,0,0,mobile,0,0
31.18,61,2491,0,1,0,mobile,1,0
9.61,39,1860,1,0,0,mobile,1,0
41.06,61,2301,2,0,1,desktop,0,0
21.1,27,265,3,0,0,desktop,1,0
